
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]      0.07      2.78      0.10     -4.06      4.73    725.88      1.00
alpha_ntar_0_0[1]      0.35      2.05      0.33     -2.89      3.75    982.03      1.00
alpha_ntar_0_0[2]      0.96      1.38      0.98     -1.31      2.93    655.70      1.00
alpha_ntar_0_0[3]     -0.13      1.08     -0.15     -1.86      1.66    787.97      1.00
alpha_ntar_0_0[4]     -0.11      0.76     -0.10     -1.45      1.08   1208.76      1.00
alpha_ntar_0_0[5]     -0.29      0.67     -0.29     -1.44      0.75    612.73      1.00
alpha_ntar_0_0[6]      0.02      0.56      0.02     -0.96      0.95    722.83      1.00
alpha_ntar_0_0[7]      0.04      0.45      0.05     -0.70      0.75    627.79      1.00
alpha_ntar_0_0[8]     -0.12      0.42     -0.12     -0.76      0.63    865.32      1.00
alpha_ntar_0_1[0]     -0.49      2.65     -0.53     -4.32      4.51    744.08      1.00
alpha_ntar_0_1[1]     -1.80      1.82     -1.77     -4.23      1.64    581.94      1.00
alpha_ntar_0_1[2]     -0.46      1.30     -0.54     -2.25      1.90    955.90      1.00
alpha_ntar_0_1[3]     -0.05      0.94     -0.04     -1.77      1.25    912.24      1.00
alpha_ntar_0_1[4]      0.51      0.81      0.54     -0.85      1.83    835.09      1.00
alpha_ntar_0_1[5]      0.34      0.57      0.36     -0.54      1.23    688.03      1.00
alpha_ntar_0_1[6]     -0.25      0.59     -0.27     -1.13      0.69    780.68      1.00
alpha_ntar_0_1[7]      0.08      0.43      0.08     -0.69      0.76   1147.34      1.00
alpha_ntar_0_1[8]     -0.07      0.32     -0.07     -0.56      0.46    790.13      1.00
 alpha_tar_0_0[0]     -2.60      1.29     -2.56     -4.88     -0.56    803.83      1.00
 alpha_tar_0_0[1]      2.02      0.88      1.97      0.59      3.56    373.93      1.00
 alpha_tar_0_0[2]     -1.39      0.67     -1.36     -2.46     -0.23    398.38      1.00
 alpha_tar_0_0[3]     -2.68      0.64     -2.63     -3.71     -1.69    339.77      1.00
 alpha_tar_0_0[4]     -0.79      0.44     -0.76     -1.43     -0.03    806.92      1.00
 alpha_tar_0_0[5]      1.58      0.46      1.53      0.85      2.34    281.98      1.00
 alpha_tar_0_0[6]      1.14      0.32      1.12      0.58      1.60    324.38      1.00
 alpha_tar_0_0[7]      1.03      0.32      1.02      0.49      1.51    683.14      1.00
 alpha_tar_0_0[8]     -0.24      0.26     -0.22     -0.66      0.15    590.06      1.00
 alpha_tar_0_0[9]     -0.61      0.21     -0.60     -0.93     -0.28    378.62      1.00
alpha_tar_0_0[10]      0.37      0.18      0.36      0.11      0.71   1133.86      1.00
alpha_tar_0_0[11]     -0.23      0.17     -0.23     -0.48      0.06    620.59      1.00
 alpha_tar_0_1[0]     -1.10      1.01     -1.12     -2.81      0.49    448.25      1.00
 alpha_tar_0_1[1]      0.54      0.81      0.49     -0.79      1.82    776.30      1.00
 alpha_tar_0_1[2]      2.10      0.63      2.08      1.07      3.16    408.16      1.00
 alpha_tar_0_1[3]      0.27      0.49      0.25     -0.61      0.93    737.62      1.00
 alpha_tar_0_1[4]      0.21      0.34      0.20     -0.31      0.82    790.29      1.00
 alpha_tar_0_1[5]      0.08      0.29      0.09     -0.44      0.49   1021.14      1.00
 alpha_tar_0_1[6]      0.26      0.26      0.26     -0.11      0.69    963.63      1.00
 alpha_tar_0_1[7]     -0.41      0.24     -0.39     -0.80     -0.00    704.12      1.00
 alpha_tar_0_1[8]     -0.40      0.22     -0.40     -0.75     -0.03    860.17      1.00
 alpha_tar_0_1[9]     -0.00      0.19     -0.01     -0.35      0.29   1019.12      1.00
alpha_tar_0_1[10]      0.30      0.16      0.30      0.05      0.57    634.67      1.00
alpha_tar_0_1[11]      0.13      0.15      0.13     -0.10      0.37    800.47      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    693.15      1.00
       psi_ntar_0      0.04      0.02      0.04      0.02      0.07    490.03      1.00
        psi_tar_0      0.34      0.06      0.34      0.25      0.44     94.00      1.00
            rho_0      0.85      0.00      0.85      0.85      0.85    327.82      1.00
        sigma_0_0      1.84      0.01      1.84      1.82      1.87    346.55      1.00
        sigma_0_1      1.54      0.01      1.54      1.53      1.56    344.18      1.00

Number of divergences: 0
