
                        mean       std    median      5.0%     95.0%     n_eff     r_hat
 alpha_ntar_0_0[0]     -0.16      1.43     -0.20     -2.74      2.05    423.66      1.00
 alpha_ntar_0_0[1]      1.45      1.23      1.42     -0.44      3.47    261.77      1.00
 alpha_ntar_0_0[2]      0.13      0.79      0.13     -1.06      1.29    386.45      1.01
 alpha_ntar_0_0[3]      1.84      0.68      1.86      0.66      2.85    276.18      1.00
 alpha_ntar_0_0[4]      1.84      0.54      1.82      0.97      2.70    253.99      1.00
 alpha_ntar_0_0[5]     -0.45      0.44     -0.45     -1.03      0.30    626.32      1.00
 alpha_ntar_0_0[6]      0.93      0.37      0.91      0.30      1.47    365.19      0.99
 alpha_ntar_0_0[7]     -0.86      0.32     -0.85     -1.35     -0.31    216.27      1.00
 alpha_ntar_0_0[8]     -0.09      0.26     -0.08     -0.50      0.36    206.06      1.00
 alpha_ntar_0_0[9]     -0.08      0.25     -0.09     -0.48      0.27    437.27      1.00
alpha_ntar_0_0[10]     -0.05      0.19     -0.05     -0.38      0.25    424.11      1.00
 alpha_ntar_0_1[0]      0.86      1.41      0.86     -1.48      3.04    262.02      1.00
 alpha_ntar_0_1[1]      0.65      1.38      0.56     -1.69      2.70    297.72      1.00
 alpha_ntar_0_1[2]     -2.23      0.84     -2.16     -3.72     -0.99    180.75      0.99
 alpha_ntar_0_1[3]      0.08      0.62      0.12     -0.92      1.07    495.49      1.00
 alpha_ntar_0_1[4]     -0.10      0.55     -0.11     -1.09      0.72    382.77      1.00
 alpha_ntar_0_1[5]     -0.12      0.39     -0.11     -0.73      0.45    392.22      1.00
 alpha_ntar_0_1[6]     -0.75      0.37     -0.74     -1.35     -0.14    284.83      1.00
 alpha_ntar_0_1[7]      0.51      0.39      0.47     -0.17      1.09    332.94      1.00
 alpha_ntar_0_1[8]      0.15      0.25      0.14     -0.27      0.52    469.56      0.99
 alpha_ntar_0_1[9]     -0.23      0.21     -0.21     -0.52      0.10    475.78      1.00
alpha_ntar_0_1[10]     -0.11      0.23     -0.13     -0.53      0.22    264.45      1.01
  alpha_tar_0_0[0]      1.03      1.03      1.07     -0.67      2.72    855.01      1.00
  alpha_tar_0_0[1]      2.42      0.81      2.32      1.12      3.73    276.97      1.00
  alpha_tar_0_0[2]      0.25      0.57      0.24     -0.71      1.15 -15687.26      1.00
  alpha_tar_0_0[3]     -2.78      0.54     -2.73     -3.48     -1.83    153.06      1.00
  alpha_tar_0_0[4]      3.10      0.51      3.12      2.30      3.89    104.59      1.00
  alpha_tar_0_0[5]     -0.93      0.32     -0.90     -1.40     -0.39    385.92      1.01
  alpha_tar_0_0[6]      1.81      0.34      1.80      1.30      2.38    173.76      1.00
  alpha_tar_0_0[7]     -1.53      0.29     -1.50     -2.03     -1.07    151.94      1.00
  alpha_tar_0_0[8]      0.16      0.19      0.15     -0.15      0.52    411.26      1.00
  alpha_tar_0_0[9]      0.11      0.20      0.11     -0.24      0.42   1108.79      1.00
 alpha_tar_0_0[10]      0.29      0.16      0.29      0.03      0.54    464.25      1.00
 alpha_tar_0_0[11]      0.06      0.13      0.06     -0.13      0.28    743.69      1.00
 alpha_tar_0_0[12]      0.09      0.13      0.09     -0.12      0.30    461.85      1.00
 alpha_tar_0_0[13]      0.04      0.11      0.04     -0.15      0.21    365.17      1.00
 alpha_tar_0_0[14]     -0.05      0.12     -0.05     -0.27      0.11    278.87      1.00
  alpha_tar_0_1[0]     -1.07      0.98     -1.13     -2.69      0.68    416.17      0.99
  alpha_tar_0_1[1]      1.11      0.86      1.09     -0.17      2.62    590.79      1.00
  alpha_tar_0_1[2]     -3.33      0.77     -3.29     -4.40     -1.98    207.98      1.00
  alpha_tar_0_1[3]      0.11      0.49      0.11     -0.71      0.88    434.51      1.00
  alpha_tar_0_1[4]     -0.43      0.41     -0.44     -1.05      0.20    606.51      1.00
  alpha_tar_0_1[5]     -0.23      0.33     -0.23     -0.73      0.34    803.59      1.00
  alpha_tar_0_1[6]     -1.15      0.29     -1.15     -1.59     -0.71    278.17      1.00
  alpha_tar_0_1[7]      1.03      0.27      1.03      0.56      1.43    326.32      1.00
  alpha_tar_0_1[8]     -0.09      0.20     -0.10     -0.42      0.26   1131.64      1.00
  alpha_tar_0_1[9]     -0.36      0.18     -0.36     -0.65     -0.06    396.46      1.00
 alpha_tar_0_1[10]      0.20      0.17      0.20     -0.07      0.47    341.49      1.00
 alpha_tar_0_1[11]      0.12      0.15      0.12     -0.09      0.37    424.09      0.99
 alpha_tar_0_1[12]      0.08      0.14      0.07     -0.10      0.35    428.28      1.00
 alpha_tar_0_1[13]      0.05      0.14      0.06     -0.17      0.27    475.78      1.00
 alpha_tar_0_1[14]     -0.05      0.15     -0.05     -0.29      0.18    390.45      1.00
             eta_0      0.10      0.00      0.10      0.10      0.11    533.24      1.00
        psi_ntar_0      0.11      0.02      0.11      0.07      0.15     55.50      1.00
         psi_tar_0      0.39      0.05      0.39      0.31      0.49     76.90      1.01
             rho_0      0.86      0.00      0.86      0.85      0.87    205.21      1.01
         sigma_0_0      0.95      0.01      0.95      0.93      0.97    186.20      1.01
         sigma_0_1      1.03      0.02      1.03      1.01      1.06    180.88      1.00

Number of divergences: 0
