
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
alpha_ntar_0_0[0]     -0.67      0.95     -0.58     -2.11      0.92     74.16      1.02
alpha_ntar_0_0[1]      2.06      0.80      2.00      0.79      3.29    148.69      1.00
alpha_ntar_0_0[2]      0.19      0.56      0.20     -0.72      1.11    182.94      1.00
alpha_ntar_0_0[3]      2.02      0.48      2.02      1.20      2.70    101.22      1.00
alpha_ntar_0_0[4]     -1.77      0.41     -1.75     -2.50     -1.21    109.75      1.00
alpha_ntar_0_0[5]      0.26      0.27      0.29     -0.20      0.64    237.12      1.00
alpha_ntar_0_0[6]      1.28      0.31      1.27      0.82      1.81     61.53      1.01
alpha_ntar_0_0[7]     -0.76      0.24     -0.77     -1.14     -0.36    130.27      1.00
alpha_ntar_0_0[8]     -0.05      0.17     -0.06     -0.28      0.27    150.49      1.01
alpha_ntar_0_0[9]      0.09      0.17      0.10     -0.22      0.30    142.40      1.02
alpha_ntar_0_1[0]      0.16      1.31      0.18     -1.57      2.53    385.23      1.00
alpha_ntar_0_1[1]     -0.84      0.93     -0.87     -2.29      0.52    369.77      1.00
alpha_ntar_0_1[2]     -1.97      0.74     -2.02     -3.12     -0.73    209.85      1.00
alpha_ntar_0_1[3]      0.69      0.63      0.65     -0.36      1.74    201.82      1.00
alpha_ntar_0_1[4]     -0.76      0.47     -0.76     -1.41      0.18    147.21      1.00
alpha_ntar_0_1[5]     -0.83      0.39     -0.79     -1.60     -0.32     76.26      1.00
alpha_ntar_0_1[6]     -0.13      0.34     -0.15     -0.66      0.48    172.56      1.02
alpha_ntar_0_1[7]      0.45      0.27      0.42      0.05      0.96    184.68      1.00
alpha_ntar_0_1[8]     -0.06      0.23     -0.05     -0.43      0.32    260.78      1.00
alpha_ntar_0_1[9]     -0.15      0.21     -0.14     -0.49      0.24    107.81      1.00
 alpha_tar_0_0[0]     -1.02      0.71     -1.03     -2.16      0.12    115.01      1.01
 alpha_tar_0_0[1]     -3.14      0.68     -3.16     -4.06     -1.89     61.90      1.00
 alpha_tar_0_0[2]     -0.15      0.37     -0.15     -0.78      0.29    226.15      1.00
 alpha_tar_0_0[3]      2.95      0.44      2.95      2.13      3.55     37.34      1.01
 alpha_tar_0_0[4]      3.03      0.41      3.06      2.32      3.65     29.65      1.01
 alpha_tar_0_0[5]     -0.58      0.19     -0.56     -0.83     -0.22    212.66      1.00
 alpha_tar_0_0[6]     -1.95      0.28     -1.96     -2.35     -1.48     29.68      1.00
 alpha_tar_0_0[7]      1.40      0.22      1.38      1.10      1.75     32.63      1.00
 alpha_tar_0_0[8]     -0.05      0.13     -0.03     -0.28      0.13    226.12      0.99
 alpha_tar_0_0[9]     -0.11      0.11     -0.12     -0.30      0.05    174.37      1.00
alpha_tar_0_0[10]      0.17      0.11      0.17      0.02      0.37    174.02      1.00
alpha_tar_0_0[11]     -0.02      0.10     -0.02     -0.18      0.16    151.14      1.00
alpha_tar_0_0[12]     -0.04      0.09     -0.03     -0.18      0.11    204.58      1.00
alpha_tar_0_0[13]     -0.02      0.09     -0.03     -0.16      0.12    135.07      1.00
 alpha_tar_0_1[0]      0.28      0.90      0.28     -0.96      1.82    105.19      1.00
 alpha_tar_0_1[1]      1.72      0.70      1.68      0.53      2.88     83.67      1.00
 alpha_tar_0_1[2]      3.37      0.63      3.37      2.25      4.32     56.14      1.00
 alpha_tar_0_1[3]      1.16      0.44      1.15      0.50      1.87    184.65      1.00
 alpha_tar_0_1[4]      1.27      0.35      1.22      0.72      1.84     83.81      1.00
 alpha_tar_0_1[5]      1.38      0.34      1.39      0.81      1.89     60.46      1.00
 alpha_tar_0_1[6]      0.10      0.21      0.09     -0.25      0.42    173.48      1.00
 alpha_tar_0_1[7]     -0.94      0.20     -0.94     -1.28     -0.63     79.39      1.01
 alpha_tar_0_1[8]     -0.18      0.17     -0.18     -0.46      0.12    197.65      1.00
 alpha_tar_0_1[9]      0.36      0.17      0.36      0.08      0.66    366.94      1.00
alpha_tar_0_1[10]      0.16      0.14      0.16     -0.09      0.39    161.82      1.00
alpha_tar_0_1[11]     -0.02      0.14     -0.03     -0.24      0.21    228.55      1.00
alpha_tar_0_1[12]     -0.08      0.13     -0.07     -0.26      0.17    159.42      1.00
alpha_tar_0_1[13]     -0.02      0.12     -0.03     -0.20      0.18    140.63      1.00
            eta_0      0.10      0.00      0.10      0.10      0.10    207.64      1.00
       psi_ntar_0      0.12      0.02      0.12      0.09      0.16     22.80      1.00
        psi_tar_0      0.41      0.05      0.40      0.33      0.49     21.71      1.01
            rho_0      0.85      0.00      0.85      0.85      0.85    103.91      1.00
        sigma_0_0      0.89      0.01      0.89      0.88      0.90    138.28      1.01
        sigma_0_1      1.25      0.01      1.25      1.23      1.27    115.71      1.00

Number of divergences: 0
